Still,996,-24,37,,,
Still,997,-23,38,,,
Still,995,-24,38,,,
Still,995,-24,38,,,
Still,995,-24,38,,,
Still,997,-24,37,,,
Still,998,-24,37,,,
Still,995,-23,39,,,
Still,995,-23,39,,,
Still,995,-23,39,,,
Still,1000,-24,37,,,
Still,993,-23,37,,,
Still,993,-23,37,,,
Still,999,-24,37,,,
Still,994,-23,37,,,
Still,997,-24,37,,,
Still,996,-23,38,,,
Still,996,-23,38,,,
Still,996,-24,38,,,
Still,997,-24,37,,,
Still,995,-24,38,,,
Still,995,-24,38,,,
Still,997,-24,37,,,
Still,995,-23,38,,,
Still,997,-23,37,,,
Still,995,-24,37,,,
Still,995,-24,37,,,
Still,995,-23,38,,,
Still,996,-23,38,,,
Still,995,-23,36,,,
Still,995,-23,36,,,
Still,998,-24,37,,,
Still,996,-24,38,,,
Still,998,-24,38,,,
Still,998,-24,38,,,
Still,995,-23,37,,,
Still,999,-25,39,,,
Still,997,-24,36,,,
Still,995,-24,38,,,
Still,995,-24,38,,,
Still,995,-23,39,,,
Still,999,-24,36,,,
Still,993,-23,38,,,
Still,993,-23,38,,,
Still,1000,-26,37,,,
Still,998,-25,37,,,
Still,994,-24,37,,,
Still,999,-24,38,,,
Still,999,-24,38,,,
Still,994,-24,38,,,
Still,998,-25,36,,,
Still,994,-23,37,,,
Still,994,-23,37,,,
Still,997,-24,38,,,
Still,995,-23,37,,,
Still,995,-23,37,,,
Still,998,-25,37,,,
Still,998,-25,37,,,
Still,996,-24,38,,,
Still,996,-22,38,,,
Still,998,-25,38,,,
Still,998,-25,38,,,
Still,993,-23,36,,,
Still,998,-25,37,,,
Still,997,-24,36,,,
Still,995,-24,38,,,
Still,995,-24,38,,,
Still,999,-25,38,,,
Still,996,-24,37,,,
Still,998,-25,37,,,
Still,998,-25,37,,,
Still,996,-24,38,,,
Still,997,-24,38,,,
Still,997,-25,37,,,
Still,997,-25,36,,,
Still,997,-24,36,,,
Still,995,-23,39,,,
Still,998,-24,37,,,
Still,995,-24,37,,,
Still,995,-24,37,,,
Still,999,-25,38,,,
Still,997,-24,38,,,
Still,992,-24,38,,,
Still,992,-24,38,,,
Still,997,-24,37,,,
Still,999,-25,37,,,
Still,996,-24,36,,,
Still,996,-24,37,,,
Still,996,-24,37,,,
Still,996,-24,38,,,
Still,997,-24,38,,,
Still,998,-25,37,,,
Still,998,-25,37,,,
Still,996,-24,37,,,
Still,995,-24,38,,,
Still,999,-25,39,,,
Still,996,-24,37,,,
Still,996,-24,37,,,
Still,996,-24,36,,,
Still,996,-24,37,,,
Still,996,-24,38,,,
Still,996,-24,38,,,
Still,995,-24,37,,,
Still,997,-26,38,,,
Still,1001,-23,39,,,
Still,994,-23,37,,,
Still,994,-23,37,,,
Still,994,-27,36,,,
Still,998,-22,37,,,
Still,997,-23,38,,,
Still,997,-23,38,,,
Still,995,-26,38,,,
Still,997,-25,38,,,
Still,998,-23,37,,,
Still,995,-24,37,,,
Still,995,-24,37,,,
Still,998,-25,37,,,
Still,997,-25,37,,,
Still,996,-24,38,,,
Still,996,-24,38,,,
Still,995,-23,39,,,
Still,996,-25,37,,,
Still,998,-24,38,,,
Still,998,-24,38,,,
Still,994,-24,38,,,
Still,997,-24,37,,,
Still,998,-25,37,,,
Still,997,-24,37,,,
Still,997,-24,37,,,
Still,996,-25,38,,,
Still,997,-24,39,,,
Still,996,-22,37,,,
Still,996,-22,37,,,
Still,996,-26,37,,,
Still,995,-24,38,,,
Still,995,-22,38,,,
Still,999,-26,37,,,
Still,999,-26,37,,,
Still,995,-23,37,,,
Still,998,-25,38,,,
Still,998,-24,39,,,
Still,998,-24,39,,,
Still,995,-25,37,,,
Still,998,-25,36,,,
Still,996,-24,37,,,
Still,996,-24,38,,,
Still,996,-24,38,,,
Still,998,-24,37,,,
Still,996,-24,37,,,
Still,998,-24,37,,,
Still,998,-24,37,,,
Still,995,-24,37,,,
Still,996,-24,39,,,
Still,998,-24,38,,,
Still,995,-24,37,,,
Still,995,-24,37,,,
Still,996,-24,37,,,
Still,995,-24,37,,,
Still,997,-24,37,,,
Still,997,-24,37,,,
Still,996,-24,38,,,
Still,996,-24,38,,,
Still,997,-23,37,,,
Still,997,-23,37,,,
Still,995,-25,38,,,
Still,995,-24,37,,,
Still,998,-24,37,,,
Still,996,-24,38,,,
Still,996,-24,38,,,
Still,997,-23,37,,,
Still,996,-24,38,,,
Still,998,-25,37,,,
Still,998,-25,37,,,
Still,995,-24,37,,,
Still,995,-24,38,,,
Still,997,-23,37,,,
Still,995,-23,38,,,
Still,995,-23,38,,,
Still,997,-25,38,,,
Still,998,-24,37,,,
